,price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,living_area_ratio,average_room,highness,ВАО,ЗАО,САО,СВАО,СЗАО,ЦАО,ЮАО,ЮВАО,ЮЗАО
0,31633073.0,3.2188758248682006,4.177459468932607,3.5085558999826545,2.5649493574615367,2.833213344056216,7.6128310304073565,1.0,0.0,3.15,2.0,0.5046728971962616,16.2,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,29293000.0,2.302585092994046,4.370712874773608,3.8310215329737995,2.3978952727983707,3.332204510175204,7.612336837167746,1.0,0.0,3.035314937012598,2.0,0.5775879216117148,22.554808338937463,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,30349669.0,1.791759469228055,4.29592393562047,3.543853682063679,1.6094379124341003,3.2188758248682006,7.6128310304073565,1.0,0.0,3.15,2.0,0.46408839779005523,16.8,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,31845511.0,2.995732273553991,4.251348311031766,3.8310215329737995,1.3862943611198906,2.5649493574615367,7.613324979540639,1.0,0.0,2.97,2.0,0.6518730733796955,22.554808338937463,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,38810000.0,3.332204510175204,4.21803603456465,3.250374491927572,2.3978952727983707,2.70805020110221,7.6128310304073565,1.0,0.0,3.0,2.0,0.37070254110612855,12.4,0.6428571428571429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,85004500.0,2.1972245773362196,4.6568134191399295,3.8310215329737995,2.0794415416798357,2.0794415416798357,7.6093665379542115,1.0,1.0,3.25,2.0,0.43249872174376724,22.554808338937463,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,82644000.0,1.3862943611198906,4.456670177669648,3.8310215329737995,3.9889840465642745,4.204692619390966,7.611347717403621,1.0,1.0,3.9,2.0,0.5294555948107386,22.554808338937463,0.7878787878787878,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,34100453.0,3.044522437723423,4.204692619390966,3.4307561839036995,2.302585092994046,3.8501476017100584,7.6128310304073565,1.0,0.0,3.0,2.0,0.453030303030303,14.95,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,27447668.0,1.791759469228055,4.197953544841121,3.5667118201397288,3.332204510175204,3.295836866004329,7.6128310304073565,1.0,0.0,2.87,2.0,0.524790236460717,17.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,21230289.0,1.791759469228055,4.09933210373314,3.4111477125153233,3.2188758248682006,3.1780538303479458,7.6128310304073565,1.0,0.0,2.73,2.0,0.494097807757167,14.65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,32747909.0,1.791759469228055,4.12955081795672,3.8310215329737995,2.0794415416798357,4.060443010546419,7.613324979540639,1.0,0.0,2.9,2.0,0.7376879260486496,22.554808338937463,0.10526315789473684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,27800000.0,2.9444389791664403,3.8691155044168695,3.8310215329737995,3.5263605246161616,3.7376696182833684,7.613324979540639,1.0,0.0,3.25,2.0,0.9618255155197213,22.554808338937463,0.7804878048780488,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,29759589.0,3.258096538021482,4.177459468932607,3.5234150143864045,2.1972245773362196,2.833213344056216,7.612336837167746,1.0,0.0,3.15,2.0,0.5124610591900312,16.45,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,50480000.0,2.6534937020651017,4.26689632742025,3.265759410767051,2.6390573296152584,2.70805020110221,7.6128310304073565,1.0,0.0,3.0,2.0,0.3584637268847795,12.6,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,30115475.0,3.258096538021482,4.2017030805426,3.4995332823830174,2.772588722239781,2.833213344056216,7.612336837167746,1.0,0.0,3.15,2.0,0.48784194528875385,16.05,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,28375022.0,1.791759469228055,4.258445572902527,3.8310215329737995,1.3862943611198906,3.2188758248682006,7.6128310304073565,1.0,0.0,3.15,2.0,0.6471967959522944,22.554808338937463,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,30585500.0,2.4849066497880004,4.219507705176107,3.8310215329737995,3.5263605246161616,3.5553480614894135,7.6128310304073565,1.0,0.0,3.0,2.0,0.6732778608638048,22.554808338937463,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,41240000.0,2.6534937020651017,4.241326752570746,3.242592351485517,2.3978952727983707,2.70805020110221,7.6128310304073565,1.0,0.0,3.0,2.0,0.35912408759124087,12.3,0.6428571428571429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,15177043.0,1.6094379124341003,3.6197972929264925,2.9652730660692823,2.0794415416798357,3.4011973816621555,7.6128310304073565,1.0,0.0,3.0,2.0,0.506468483347096,9.2,0.20689655172413793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,40331596.0,3.332204510175204,4.279440045898781,3.8022081394209395,2.833213344056216,2.772588722239781,7.6128310304073565,1.0,0.0,3.15,2.0,0.6151685393258426,21.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
